ID,Main Road,At Road,From Road,To Road,District,Road Type,Latitude,Longitude,Start Date Time,End Date Time,Note,Description,Urgent
"25557","SPADINA AVE","BLOOR ST W","","","Toronto and East York","Major Arterial","43.666758","-79.403835","2015-08-15 13:56","2015-11-24 16:56","Continuous","Two northbound lanes will be occupied due to structural paving rehabilitation project involves repairs of waterproofing and asphalt paving work.","Planned"
"25584","MCNICOLL AVE","KENNEDY AVE","","","Scarborough","Minor Arterial","43.81232","-79.301","2015-05-21 07:00","2015-10-30 19:00","Daily","The eastbound and westbound curb lane will be occupied due to watermain and sidewalk construction.","Planned"
"25585","MILLIKEN BLVD","FINCH AVE E","","","Scarborough","Major Arterial","43.801831","-79.2943","2015-05-28 07:00","2015-10-30 19:00","Weekdays","The northbound curb lane will be occupied due to sidewalk construction.","Planned"
"25592","SPADINA RD","","BLOOR ST W","LOWTHER AVE","Toronto and East York","Minor Arterial","43.66706","-79.40399","2015-08-15 00:01","2015-11-24 23:59","Continuous","Two northbound lanes will be occupied due to structural paving rehabilitation project by Duron Ontario Ltd.","Planned"
"25611","MARKHAM RD","COUGAR CRT","","","Scarborough","Major Arterial","43.747838","-79.220912","2015-08-03 00:01","2016-02-01 23:59","Continuous","Two northbound lanes 700 M north of Cougar Crt will be occupied due to bridge repairs.","Planned"
"25629","KIPLING AVE","","HENLEY CRES","LAKELAND DR","Etobicoke York","Major Arterial","43.730468","-79.575804","2015-08-22 07:00","2015-10-30 19:00","Daily","Two southbound left lanes will be occupied due to replacing Kipling/Humber River bridge deck.","Planned"
"25637","DUPONT ST","SPADINA RD","","","Toronto and East York","Minor Arterial","43.674841","-79.407113","2015-05-05 09:00","2015-11-05 16:00","Daily","Southeast corner curb lanes will be blocked due to hole drilling.","Planned"
"25711","FINCH AVE W","","WESTON RD","ALEXDON RD","Etobicoke York","Major Arterial","43.751988","-79.542394","2015-08-22 09:00","2015-10-16 16:00","Continuous","All lanes (one at a time) will be occupied due to utility daylighting (test holes) in various locations along Finch Ave W.","Planned"
"25725","MAIN ST","","KINGSTON RD","GERRARD ST E","Toronto and East York","Minor Arterial","43.678926","-79.298019","2015-08-24 07:00","2015-10-31 19:00","Daily","The northbound curb lane will be occupied due to full length trenchless rehabilitation of existing water mains.","Planned"
"25745","CANMORE BLVD","","MORRISH RD","CONLINS RD","Scarborough","Collector","43.79362","-79.1804","2015-08-25 00:01","2015-10-10 23:59","Continuous","The westbound lane will be occupied due to road reconstruction by Sanscon Construction Ltd.","Planned"
"25780","EGLINTON AVE E","","WALDER AVE","CLEVELAND ST","Toronto and East York","Major Arterial","43.71023","-79.381058","2015-09-04 09:00","2015-10-05 16:00","Daily","All eastbound and westbound lanes will be occupied one lane at a time due to THESL underground installation.","Planned"
"25787","ADELAIDE ST W","","GRAND OPERA LANE","YONGE ST","Toronto and East York","Minor Arterial","43.65044","-79.3785","2015-09-01 00:01","2015-11-01 23:59","Continuous","Eastbound curb lane will be occupied due to Thesl underground installation.","Planned"
